UAntID,Colony,Treat,Trial,i,a,ActInact,ClustDesc
Jul14_11_dddo,Jul14_11,RemActive,post2,1,0,I,patroller
Jul14_11_dddo,Jul14_11,RemActive,pre,0.185430464,0.072847682,NA,patroller
Jul14_11_dddo,Jul14_11,RemActive,post1,0.5,0.041390728,NA,patroller
Jul14_11_ddlg,Jul14_11,RemActive,post1,0.5,0.110927152,NA,inactive
Jul14_11_ddlg,Jul14_11,RemActive,pre,0.892384106,0,NA,inactive
Jul14_11_dggo,Jul14_11,RemActive,post2,1,0,I,NA
Jul14_11_dloy,Jul14_11,RemActive,post2,0.945916115,0,NA,NA
Jul14_11_dogg,Jul14_11,RemActive,pre,0.832781457,0.061258278,NA,inactive
Jul14_11_dogg,Jul14_11,RemActive,post1,0.257174393,0.262693157,A,inactive
Jul14_11_dogg,Jul14_11,RemActive,post2,0.549668874,0.133554084,NA,inactive
Jul14_11_dowo,Jul14_11,RemActive,post2,0.902317881,0.016556291,NA,NA
Jul14_11_doyl,Jul14_11,RemActive,post2,0.993377483,0.006622517,I,NA
Jul14_11_dwoo,Jul14_11,RemActive,post2,0.753863135,0.052980132,NA,NA
Jul14_11_dwyg,Jul14_11,RemActive,post2,0.715231788,0.252759382,A,NA
Jul14_11_dxdg,Jul14_11,RemActive,pre,0.484286704,0.293301757,A,patroller
Jul14_11_dxox,Jul14_11,RemActive,post2,0.239514349,0.621412804,A,NA
Jul14_11_dydy,Jul14_11,RemActive,pre,0.761914457,0,NA,patroller
Jul14_11_dylo,Jul14_11,RemActive,pre,0.319448909,0.204922952,A,patroller
Jul14_11_dyox,Jul14_11,RemActive,post1,0.392935982,0.200883002,A,inactive
Jul14_11_dyox,Jul14_11,RemActive,pre,1,0,I,inactive
Jul14_11_dyoy,Jul14_11,RemActive,post2,0.968543046,0,NA,NA
Jul14_11_dywg,Jul14_11,RemActive,post2,1,0,I,inactive
Jul14_11_dywg,Jul14_11,RemActive,pre,0.933774834,0,NA,inactive
Jul14_11_ggox,Jul14_11,RemActive,pre,1,0,I,inactive
Jul14_11_ggxg,Jul14_11,RemActive,pre,0.449838188,0.21192053,A,patroller
Jul14_11_ggxy,Jul14_11,RemActive,post1,0.294701987,0.481788079,A,NA
Jul14_11_ggxy,Jul14_11,RemActive,post2,0.405629139,0.205298013,NA,NA
Jul14_11_glgg,Jul14_11,RemActive,post2,0.907284768,0.043046358,NA,inactive
Jul14_11_glgg,Jul14_11,RemActive,pre,0.878587196,0,NA,inactive
Jul14_11_gooy,Jul14_11,RemActive,post2,0.530905077,0.183222958,NA,inactive
Jul14_11_gooy,Jul14_11,RemActive,post1,0.347682119,0.268211921,A,inactive
Jul14_11_gooy,Jul14_11,RemActive,pre,0.920529801,0,NA,inactive
Jul14_11_goxg,Jul14_11,RemActive,post1,0.300220751,0.132450331,NA,patroller
Jul14_11_goxg,Jul14_11,RemActive,pre,0.569536424,0.07781457,NA,patroller
Jul14_11_goyo,Jul14_11,RemActive,pre,0.850993377,0.051324503,NA,inactive
Jul14_11_gwgw,Jul14_11,RemActive,pre,0.511589404,0.251655629,A,patroller
Jul14_11_gwlo,Jul14_11,RemActive,post1,0.705298013,0.04415011,I,nurse
Jul14_11_gwlo,Jul14_11,RemActive,pre,0.90397351,0.093818985,NA,nurse
Jul14_11_gwlo,Jul14_11,RemActive,post2,1,0,I,nurse
Jul14_11_gwox,Jul14_11,RemActive,pre,1,0,I,inactive
Jul14_11_gxlo,Jul14_11,RemActive,post1,0.534768212,0.044701987,NA,NA
Jul14_11_gxwo,Jul14_11,RemActive,post2,0.971302428,0.028697572,NA,NA
Jul14_11_gyoo,Jul14_11,RemActive,pre,0.625827815,0,NA,patroller
Jul14_11_gyxg,Jul14_11,RemActive,pre,0.369221372,0.148449388,NA,patroller
